=== Don bay 3: ensemble nhieu kien truc (0 epoch) ===
to hop                                             val    test
B0_densenet121                                  0.6600  0.6878
S0_swin_t                                       0.6992  0.6774
P0_coatnet0                                     0.6653  0.6718
P1_coatnet0_288                                 0.6746  0.6837
P2_coatnet0_288_modern                          0.7208  0.7166
P2b_densenet121_modern                          0.6539  0.6835
P2c_coatnet0_224_modern                         0.7086  0.7172
B0_densenet121 + S0_swin_t                      0.7224  0.7006
B0_densenet121 + P0_coatnet0                    0.6719  0.6917
B0_densenet121 + P1_coatnet0_288                0.6908  0.7096
B0_densenet121 + P2_coatnet0_288_modern         0.6954  0.7283
B0_densenet121 + P2b_densenet121_modern         0.6729  0.7023
B0_densenet121 + P2c_coatnet0_224_modern        0.6901  0.7203
S0_swin_t + P0_coatnet0                         0.6933  0.6924
S0_swin_t + P1_coatnet0_288                     0.7176  0.6992
S0_swin_t + P2_coatnet0_288_modern              0.7185  0.7248
S0_swin_t + P2b_densenet121_modern              0.6979  0.7268
S0_swin_t + P2c_coatnet0_224_modern             0.7199  0.7210
P0_coatnet0 + P1_coatnet0_288                   0.7038  0.6909
P0_coatnet0 + P2_coatnet0_288_modern            0.6904  0.7087
P0_coatnet0 + P2b_densenet121_modern            0.6730  0.6728
P0_coatnet0 + P2c_coatnet0_224_modern           0.6915  0.7052
P1_coatnet0_288 + P2_coatnet0_288_modern        0.7193  0.7217
P1_coatnet0_288 + P2b_densenet121_modern        0.6946  0.7082
P1_coatnet0_288 + P2c_coatnet0_224_modern       0.7046  0.7146
P2_coatnet0_288_modern + P2b_densenet121_modern  0.7092  0.7130
P2_coatnet0_288_modern + P2c_coatnet0_224_modern  0.7068  0.7280
P2b_densenet121_modern + P2c_coatnet0_224_modern  0.6933  0.7208
B0_densenet121 + S0_swin_t + P0_coatnet0        0.6902  0.6872
B0_densenet121 + S0_swin_t + P1_coatnet0_288    0.7331  0.7051
B0_densenet121 + S0_swin_t + P2_coatnet0_288_modern  0.7229  0.7101
B0_densenet121 + S0_swin_t + P2b_densenet121_modern  0.6866  0.7150
B0_densenet121 + S0_swin_t + P2c_coatnet0_224_modern  0.7119  0.7095
B0_densenet121 + P0_coatnet0 + P1_coatnet0_288  0.6923  0.6867
B0_densenet121 + P0_coatnet0 + P2_coatnet0_288_modern  0.6905  0.7223
B0_densenet121 + P0_coatnet0 + P2b_densenet121_modern  0.6703  0.7006
B0_densenet121 + P0_coatnet0 + P2c_coatnet0_224_modern  0.6998  0.7040
B0_densenet121 + P1_coatnet0_288 + P2_coatnet0_288_modern  0.7182  0.7234
B0_densenet121 + P1_coatnet0_288 + P2b_densenet121_modern  0.6956  0.7139
B0_densenet121 + P1_coatnet0_288 + P2c_coatnet0_224_modern  0.7136  0.7153
B0_densenet121 + P2_coatnet0_288_modern + P2b_densenet121_modern  0.6865  0.7149
B0_densenet121 + P2_coatnet0_288_modern + P2c_coatnet0_224_modern  0.7070  0.7358
B0_densenet121 + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.6653  0.7113
S0_swin_t + P0_coatnet0 + P1_coatnet0_288       0.7064  0.7011
S0_swin_t + P0_coatnet0 + P2_coatnet0_288_modern  0.7138  0.7089
S0_swin_t + P0_coatnet0 + P2b_densenet121_modern  0.6766  0.7083
S0_swin_t + P0_coatnet0 + P2c_coatnet0_224_modern  0.7276  0.7116
S0_swin_t + P1_coatnet0_288 + P2_coatnet0_288_modern  0.7397  0.7130
S0_swin_t + P1_coatnet0_288 + P2b_densenet121_modern  0.7259  0.7061
S0_swin_t + P1_coatnet0_288 + P2c_coatnet0_224_modern  0.7252  0.7091
S0_swin_t + P2_coatnet0_288_modern + P2b_densenet121_modern  0.7242  0.7191
S0_swin_t + P2_coatnet0_288_modern + P2c_coatnet0_224_modern  0.7205  0.7323
S0_swin_t + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7064  0.7181
P0_coatnet0 + P1_coatnet0_288 + P2_coatnet0_288_modern  0.7325  0.6956
P0_coatnet0 + P1_coatnet0_288 + P2b_densenet121_modern  0.6917  0.6931
P0_coatnet0 + P1_coatnet0_288 + P2c_coatnet0_224_modern  0.7099  0.6999
P0_coatnet0 + P2_coatnet0_288_modern + P2b_densenet121_modern  0.6967  0.7055
P0_coatnet0 + P2_coatnet0_288_modern + P2c_coatnet0_224_modern  0.7067  0.7248
P0_coatnet0 + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.6916  0.7064
P1_coatnet0_288 + P2_coatnet0_288_modern + P2b_densenet121_modern  0.7216  0.7160
P1_coatnet0_288 + P2_coatnet0_288_modern + P2c_coatnet0_224_modern  0.7295  0.7222
P1_coatnet0_288 + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7063  0.7186
P2_coatnet0_288_modern + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7155  0.7261
B0_densenet121 + S0_swin_t + P0_coatnet0 + P1_coatnet0_288  0.7083  0.7116
B0_densenet121 + S0_swin_t + P0_coatnet0 + P2_coatnet0_288_modern  0.7033  0.7104
B0_densenet121 + S0_swin_t + P0_coatnet0 + P2b_densenet121_modern  0.6762  0.6979
B0_densenet121 + S0_swin_t + P0_coatnet0 + P2c_coatnet0_224_modern  0.7105  0.7083
B0_densenet121 + S0_swin_t + P1_coatnet0_288 + P2_coatnet0_288_modern  0.7213  0.7159
B0_densenet121 + S0_swin_t + P1_coatnet0_288 + P2b_densenet121_modern  0.7158  0.7149
B0_densenet121 + S0_swin_t + P1_coatnet0_288 + P2c_coatnet0_224_modern  0.7178  0.7163
B0_densenet121 + S0_swin_t + P2_coatnet0_288_modern + P2b_densenet121_modern  0.7090  0.7136
B0_densenet121 + S0_swin_t + P2_coatnet0_288_modern + P2c_coatnet0_224_modern  0.7127  0.7249
B0_densenet121 + S0_swin_t + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.6945  0.7108
B0_densenet121 + P0_coatnet0 + P1_coatnet0_288 + P2_coatnet0_288_modern  0.7204  0.7107
B0_densenet121 + P0_coatnet0 + P1_coatnet0_288 + P2b_densenet121_modern  0.6969  0.6979
B0_densenet121 + P0_coatnet0 + P1_coatnet0_288 + P2c_coatnet0_224_modern  0.7124  0.7054
B0_densenet121 + P0_coatnet0 + P2_coatnet0_288_modern + P2b_densenet121_modern  0.6928  0.7121
B0_densenet121 + P0_coatnet0 + P2_coatnet0_288_modern + P2c_coatnet0_224_modern  0.7079  0.7244
B0_densenet121 + P0_coatnet0 + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.6877  0.7101
B0_densenet121 + P1_coatnet0_288 + P2_coatnet0_288_modern + P2b_densenet121_modern  0.7112  0.7205
B0_densenet121 + P1_coatnet0_288 + P2_coatnet0_288_modern + P2c_coatnet0_224_modern  0.7123  0.7312
B0_densenet121 + P1_coatnet0_288 + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7058  0.7210
B0_densenet121 + P2_coatnet0_288_modern + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7105  0.7253
S0_swin_t + P0_coatnet0 + P1_coatnet0_288 + P2_coatnet0_288_modern  0.7236  0.7043
S0_swin_t + P0_coatnet0 + P1_coatnet0_288 + P2b_densenet121_modern  0.7146  0.7062
S0_swin_t + P0_coatnet0 + P1_coatnet0_288 + P2c_coatnet0_224_modern  0.7285  0.7035
S0_swin_t + P0_coatnet0 + P2_coatnet0_288_modern + P2b_densenet121_modern  0.7135  0.7156
S0_swin_t + P0_coatnet0 + P2_coatnet0_288_modern + P2c_coatnet0_224_modern  0.7267  0.7258
S0_swin_t + P0_coatnet0 + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7140  0.7077
S0_swin_t + P1_coatnet0_288 + P2_coatnet0_288_modern + P2b_densenet121_modern  0.7273  0.7220
S0_swin_t + P1_coatnet0_288 + P2_coatnet0_288_modern + P2c_coatnet0_224_modern  0.7313  0.7237
S0_swin_t + P1_coatnet0_288 + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7083  0.7176
S0_swin_t + P2_coatnet0_288_modern + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7233  0.7321
P0_coatnet0 + P1_coatnet0_288 + P2_coatnet0_288_modern + P2b_densenet121_modern  0.7264  0.7012
P0_coatnet0 + P1_coatnet0_288 + P2_coatnet0_288_modern + P2c_coatnet0_224_modern  0.7254  0.7233
P0_coatnet0 + P1_coatnet0_288 + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7107  0.7064
P0_coatnet0 + P2_coatnet0_288_modern + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7130  0.7249
P1_coatnet0_288 + P2_coatnet0_288_modern + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7300  0.7290
B0_densenet121 + S0_swin_t + P0_coatnet0 + P1_coatnet0_288 + P2_coatnet0_288_modern  0.7196  0.7121
B0_densenet121 + S0_swin_t + P0_coatnet0 + P1_coatnet0_288 + P2b_densenet121_modern  0.7020  0.7144
B0_densenet121 + S0_swin_t + P0_coatnet0 + P1_coatnet0_288 + P2c_coatnet0_224_modern  0.7205  0.7109
B0_densenet121 + S0_swin_t + P0_coatnet0 + P2_coatnet0_288_modern + P2b_densenet121_modern  0.7040  0.7144
B0_densenet121 + S0_swin_t + P0_coatnet0 + P2_coatnet0_288_modern + P2c_coatnet0_224_modern  0.7087  0.7274
B0_densenet121 + S0_swin_t + P0_coatnet0 + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.6983  0.7125
B0_densenet121 + S0_swin_t + P1_coatnet0_288 + P2_coatnet0_288_modern + P2b_densenet121_modern  0.7086  0.7163
B0_densenet121 + S0_swin_t + P1_coatnet0_288 + P2_coatnet0_288_modern + P2c_coatnet0_224_modern  0.7171  0.7182
B0_densenet121 + S0_swin_t + P1_coatnet0_288 + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7136  0.7104
B0_densenet121 + S0_swin_t + P2_coatnet0_288_modern + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7151  0.7267
B0_densenet121 + P0_coatnet0 + P1_coatnet0_288 + P2_coatnet0_288_modern + P2b_densenet121_modern  0.7125  0.7096
B0_densenet121 + P0_coatnet0 + P1_coatnet0_288 + P2_coatnet0_288_modern + P2c_coatnet0_224_modern  0.7203  0.7282
B0_densenet121 + P0_coatnet0 + P1_coatnet0_288 + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7089  0.7110
B0_densenet121 + P0_coatnet0 + P2_coatnet0_288_modern + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7025  0.7235
B0_densenet121 + P1_coatnet0_288 + P2_coatnet0_288_modern + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7092  0.7267
S0_swin_t + P0_coatnet0 + P1_coatnet0_288 + P2_coatnet0_288_modern + P2b_densenet121_modern  0.7202  0.7204
S0_swin_t + P0_coatnet0 + P1_coatnet0_288 + P2_coatnet0_288_modern + P2c_coatnet0_224_modern  0.7253  0.7100
S0_swin_t + P0_coatnet0 + P1_coatnet0_288 + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7136  0.7167
S0_swin_t + P0_coatnet0 + P2_coatnet0_288_modern + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7178  0.7232
S0_swin_t + P1_coatnet0_288 + P2_coatnet0_288_modern + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7310  0.7264
P0_coatnet0 + P1_coatnet0_288 + P2_coatnet0_288_modern + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7232  0.7215
B0_densenet121 + S0_swin_t + P0_coatnet0 + P1_coatnet0_288 + P2_coatnet0_288_modern + P2b_densenet121_modern  0.7110  0.7096
B0_densenet121 + S0_swin_t + P0_coatnet0 + P1_coatnet0_288 + P2_coatnet0_288_modern + P2c_coatnet0_224_modern  0.7263  0.7193
B0_densenet121 + S0_swin_t + P0_coatnet0 + P1_coatnet0_288 + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7068  0.7115
B0_densenet121 + S0_swin_t + P0_coatnet0 + P2_coatnet0_288_modern + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7128  0.7254
B0_densenet121 + S0_swin_t + P1_coatnet0_288 + P2_coatnet0_288_modern + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7128  0.7207
B0_densenet121 + P0_coatnet0 + P1_coatnet0_288 + P2_coatnet0_288_modern + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7221  0.7186
S0_swin_t + P0_coatnet0 + P1_coatnet0_288 + P2_coatnet0_288_modern + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7326  0.7198
B0_densenet121 + S0_swin_t + P0_coatnet0 + P1_coatnet0_288 + P2_coatnet0_288_modern + P2b_densenet121_modern + P2c_coatnet0_224_modern  0.7249  0.7199

Chon theo VAL     : S0_swin_t + P1_coatnet0_288 + P2_coatnet0_288_modern
   -> test = 0.7130   <== CON SO DUOC PHEP BAO CAO
Cao nhat tren TEST: B0_densenet121 + P2_coatnet0_288_modern + P2c_coatnet0_224_modern -> 0.7358   (chenh +0.0228)
   Dong tren KHONG duoc bao cao: chon to hop bang chinh tap test la ro ri quy trinh.

-> Ensemble luon la DONG RIENG: no dung nhieu lan huan luyen, khong duoc dat canh
   mot mo hinh don roi goi la 'cai tien'.
